,date,tweet
84,4/2/20,$AAPL $320 is out of the question!! 😂
85,5/2/20,"$AAPL LETS GOOOO 📈📈📈📈🤑
NEVER DOUBT APPLE 🍎 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀"
86,5/2/20,$AAPL too many look at me I got my $0.30 profit.  Buy and Hold. 🍎 is a Long term HOLD for 💰
87,6/2/20,$AAPL Lots of trapped bears. Let’s blast off 🚀
88,6/2/20,$AAPL a stock that has growth and a divvy -- who would have thought.  😎
89,7/2/20,$AAPL gotta love reading desperate bulls on here. Down with the ship you go!!! 🚢 🛳
90,7/2/20,"$AAPL crazy how people hold this knowing it'll get eviscerated next earnings report 🤷‍♂️
#endTheFed"
91,7/2/20,"$AAPL Tim apple up to same old antics.

This Mgt team is 💩"
92,9/2/20,$AAPL the fake that the article from Nikkei is false is hilarious. Bears are never safe 🤣🤣🤣🤣🥳🥳🥳🥳
93,9/2/20,"$AAPL  
bears on here 😆😆😂😂🤣🤣🤣 
might wanna get those stop losses going"
94,10/2/20,$AAPL Airpods pro not available anywhere in New Jersey thru mid March 😧
95,11/2/20,$AAPL I do this every day!! You greedy bulls are TOAST!! 🐻🍎🤑
96,12/2/20,$AAPL sitting at triple top resistance...seems like a good place to go long 🥴🤡
97,12/2/20,$AAPL This won’t see $325. It’s been lower highs since $327 😂🐻🍎
98,12/2/20,$AAPL power unbridled!! Release da beast!! 🍏🍏🍏 insatiable hunger for shares of this delicious fruit 🍏🍏
99,14/02/2020,$AAPL No negative news and futures are green which means it will end Red today 🤣
100,14/02/2020,$AAPL bag holders from ATH can’t figure out what to do lol 🤣😂🤣😅🤣🤣
101,17/02/2020,$AAPL could this be the major pullback I have been waiting for 😂
102,17/02/2020,$AAPL who remembers when the Dow fell 650 points when they were talking about the coronavirus 😭
103,18/02/2020,$AAPL red day tomorrow bring me 300 baby 😝
104,18/02/2020,$AAPL imagine missing this bull run 😭
105,18/02/2020,"$AAPL Bulls will say revenue cut is priced in! 😂😂 
Only up 100% in 1 year!"
106,18/02/2020,$AAPL rumor they are declaring bankruptcy 😂😂😂
107,18/02/2020,$AAPL about to break 317. Distribution steady all day. Single file no reason to panic 😰😰📉🔥
108,18/02/2020,$AAPL the meeting you guys are about to endure is going to make your head spin. Apple's closing at 3:16 today 😎😘
109,19/02/2020,$AAPL Abracadabra... 👀looking for the bottom. So easy to do 😆. 290-300 perhaps. Sitting with my coins earned from 257... 🎰 next few dayz GL Y’all
110,19/02/2020,$AAPL apple needs to wear themselves off of china anyway.... move production to Mexico.... I like China but we have to manage this continent better than anyother.... imo🤔
111,19/02/2020,$AAPL bullish as a mfer  🥰💯🚀🇺🇸
112,20/02/2020,$AAPL falling wedge on the 10 min 📈🌚
113,20/02/2020,"$AAPL started the day buying puts, sold them for big profit, and ended the day buying puts 😁"
114,21/02/2020,$AAPL Coronavirus needs to stop ASAP or else 😰
115,21/02/2020,$AAPL share price sitting in no Mans land right now...look for demand zone entry below $310 to cover those shorts 👍🏻
116,21/02/2020,$AAPL Dumb Bulls bought the dip yesterday 😄
117,21/02/2020,$AAPL hey bulls if you liked it at $327 you should be loving it here BTD lol 😂🤣😡
118,21/02/2020,"$AAPL $300 PT, soon ready to reap the harvest 👿"
119,21/02/2020,$AAPL prepare for margin calls bulls 😂😂.
120,21/02/2020,$AAPL trading under the 4hr 180d sma.. could do more bleeding 😥
121,23/02/2020,"$AAPL Buy Puts for feb 28.  if you can't with the bears, join them. 🚀🚀🚀🚀PUTS🚀🚀🚀🚀. #darkside"
122,24/02/2020,"$AAPL warning incoming game warning incoming game

bulls may want to reboot their strategy 🤣🤣🤣"
123,24/02/2020,"$AAPL 1,002% return!!!! That’s how it’s done!! Only risked $585 😂🤷🏻‍♂️🤑"
124,24/02/2020,"$AAPL Long term I'm bullish, but for the next week, I would love to see this come down to $260 no cap! 😬"
125,24/02/2020,$AAPL Stockking91 is a little baby because he has been wrong for the past month now he blocked me 🤣😂🤣I love it
126,25/02/2020,"$AAPL bahahaha That was a quick $5,865 profit off of only $585 😂🩸"
127,25/02/2020,"$AAPL is there a morning dip? Couldn’t exit my short term puts, was in a meeting lol 😭"
128,25/02/2020,$AAPL if i didnt sell days a go id be a cry baby now. So much for hands of steel 🥴 Mr C you dont just OWN it.. duh
129,25/02/2020,$AAPL Jesus DUMP ALREADY LETS SEE REAL BLOOD 🩸👹
130,25/02/2020,"$AAPL ""too the moon 🚀🚀🚀🚀"" am I right?"
131,26/02/2020,$AAPL called 286 for the close. 🤷🏾‍♂️. Was almost close. Got shooken out with the flash  buy up in the a.m..
132,26/02/2020,"$AAPL Crash on the open! Load the puts, yesterday was a green to red. Will continue the down trend! 🙈"
133,26/02/2020,$AAPL puts don’t forget what just happened this week 😑
134,26/02/2020,$AAPL Jhina crashes the market again 😂
135,26/02/2020,$AAPL - do you see what I see? 🤔
136,26/02/2020,$AAPL  Hurry up apple! Release the exact same phone with a catchy commercial! Save us from Corona! 😂 ..
137,27/02/2020,"$AAPL market might do same as yesterday... Reverse, don’t get too excited, bears 🐻"
138,28/02/2020,"$AAPL 200 is coming ,Dec 2018 Repeat 😵😵😱"
139,28/02/2020,$AAPL GREEDY DIRTY PIGS 😂😂😂 YOU REALLY REALLY DESERVED THIS!!!!!
140,28/02/2020,$AAPL GOT TO ADMIT THE BEARS WERE CORRECT 🤣😂🤣 GOOD JOB AND THANKS FOR THE DISCOUNT.
141,28/02/2020,"$AAPL Just got an email from NRCC saying that Trump is on the job, so nothing to worry about. 😂"
142,28/02/2020,$AAPL Friday afternoon always sees more red.  Another 4 digit down day shaping up!!😩
143,28/02/2020,$AAPL don’t mind me posting profit I’ve been buying these under $500 all day. :) believe it or not Idgf money is my best friend 😜
144,28/02/2020,$AAPL Worst part for Bulls is that the Fed will not even lower rates anytime soon 😄
145,29/02/2020,$AAPL Don’t worry folks it’s not that big of a deal! Let’s buy more stock shares 🙄
146,1/3/20,$AAPL that dip was a gift. Loaded up.📈🔥
147,2/3/20,$AAPL future green. Tomorrow going to be wild boys📈
148,2/3/20,$AAPL News-AirPods protect your 👂 from the virus 🦠
149,2/3/20,$AAPL looks like it’s gonna defy the gravity today 🤔
150,2/3/20,$AAPL This is trying so hard to be green 😂😂 it’s ok Give it time and this will be over 400
151,2/3/20,$AAPL would love to see my gains on Robinhood for the day. But its so trash. All my other platforms working perfectly except Robinhood 😡
152,2/3/20,$AAPL 😂😂😂😂📈📈📈📈🤑🤑🤑🤑🚀🚀🚀🚀🚀🚀🚀🔥🤯🤯🔥💥💥💥🍎🍎🍎🍎🍎🍎🍎🍎THE TRUMP EFFECT WE BAKKKKK
153,2/3/20,What I like to see $AAPL 🤑 cashing in for the day
154,2/3/20,$AAPL let's just steady climb rest of day 😁
155,2/3/20,$AAPL wowow looks like the shorts got caught with their hands in the 🍪 jar
156,2/3/20,"$AAPL beautiful 🏆 BTW, Robinhooders switch ASAP! Their platform was designed to Screw YOU. Coincidence that we finally see a Bullish rebound today and it crashes? Happens more often on these days than it should."
157,2/3/20,"$AAPL target ppt is now 310 
I wanna see gap fill 308 and push over the resistance 

💰"
158,2/3/20,$AAPL Let’s head back to 300s this week 👍🏽
159,2/3/20,$AAPL let’s make 300 by tomorrow👍
160,2/3/20,$AAPL imagine being on a platform that actually worked 🙄 #robinhood
161,2/3/20,$AAPL 🔥🔥✈️💎 breaking out trend 293s coming
162,2/3/20,$AAPL normally I would need to sell in the morning to lock in profits but it looks like I’ve actually made money today!  I just can tell how much!!! Thank you RH!!! 😂😂😂😂
163,2/3/20,$AAPL so coronavirus apparently is ok on Monday’s what about Tuesday ? No worries on Tuesday ? 🤧
164,2/3/20,$AAPL the March 200 put was 2.15 on Friday. I sold a truck load of those at max IV for a credit. They just closed the day at 30c. 😂😂😂😁😁
165,2/3/20,$AAPL sold at 3:59! Beast mode 💉💉
166,2/3/20,$AAPL Apple’s on Sale 🍎🍎🍎 $300 Plus tomorrow 🚀🤑🍸
167,3/3/20,$AAPL Thanks to RH... i would have exited my calls at much lower premium ... lol. Now i should see another 20% up on those calls. 😂
168,3/3/20,$AAPL who will be selling at 1st half tomorrow are going to be losers like today 😊🧐
169,3/3/20,$AAPL Wow!! Shorts Covering like Crazy!! 🚀🚀🚀
170,3/3/20,"$AAPL 40% on puts here in two minutes
 💰👈✅"
171,3/3/20,$AAPL this will be my last week trading with RH. Where are their servers based? Some leaky basement in Uganda? 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️
172,3/3/20,"$AAPL How does it work,  people you block come back as unblocked after a while? Bears beginning to surround again.🐻🐻🐻"
173,3/3/20,$AAPL did u dip into that dip??😂🍎2🍏
174,3/3/20,$AAPL also added some 300-310 calls for this week on small account 💎🤫
175,3/3/20,"$AAPL check out before you lose all your money, this is Corona virus is not a joke guy's 🔻🚫"
176,4/3/20,"$AAPL This thing is going sideways. Imo, it’s undecided but I think it’s gonna breakout at power hour. To which way? I have no clue. I just scalp the sideways trend  with puts🤷🏽‍♂️"
177,4/3/20,$AAPL got my fiddle out ... looks like 🍎 go back to lower channel limits🐻🐻🐻🐻
178,4/3/20,$AAPL   sold swing position from  267.. 😃 Holding some LT
179,4/3/20,$AAPL alerted calls nice bottom setup 300c march6 100% up 💰Boom . Locking profits heee 🦏
180,4/3/20,$AAPL why are they holding it here! WTF! ✌🏽 GL bulls
181,4/3/20,"$AAPL bulls, let’s punch 🥊 through this , shall we 🍏🍏🍏🍏 yes we will"
182,4/3/20,$AAPL NEVER TOO LATE !!! BEST DAY WAS OTHER DAY 🍎🍎🍎📈🚀🚀📈📈🍎📈📈🚀🚀🚀📈🍎🍎📈🚀🚀🍎🍎🍎🚀✔️
183,5/3/20,$AAPL how can Wall Street be so brain dead! Apple is only worth 1 value and it’s def not the current price📈
184,5/3/20,$AAPL buy open easy 😂it’s just these contrarians overthinking
185,5/3/20,$AAPL Ridiculous movement ... the STOCK MARKET as a whole.  Down 3 days approx 700 to 900 each day then recover over 1000 and then back down all gains.  Fricking YO YO. There is no NEW NEWS that nobody knows about.  Will the FEAR MONGERING ever 🛑
186,5/3/20,$AAPL gotta give a little to get a little ✨😎
187,5/3/20,$AAPL we Own the night; party Party. 😺💃💵 ❤️🍎
188,5/3/20,$AAPL wall street is working again👍
189,5/3/20,$AAPL It was cute this morning now it’s just sad.  😴
190,5/3/20,$AAPL decided to jump off a cliff 🤑
191,6/3/20,$AAPL 🔮🍎🍏🐻🔻 I live to trade another day!
192,6/3/20,$AAPL man that corona beer sure tastes goood after a nice trading session ehhh don’t it boys🔪🩸🌮
193,6/3/20,$AAPL I’m sorry Apple......I love and use many of your products but I’m afraid I’ll have to short you tmrw😫
194,6/3/20,$AAPL Buy the dip they said...🐻🐻🐻😂😂😂😂😂🔥🔥🔥🔥
195,6/3/20,"$AAPL mms don’t want any gap open so trying to fill 🤫  
Now its easy for them to retest previous low before next ER"
196,6/3/20,$AAPL NO LOYALTY I GO WHERE THE MONEY GOES😂😂😂😂.
197,7/3/20,$AAPL 230s and below next stop📉👋🏻
198,9/3/20,$AAPL how do you like them apple?🤣
199,9/3/20,$AAPL  Going to absolutely love this purge to 90$ 🍿🍿
200,9/3/20,$AAPL people actually bought this up 90% from high peak in 1 year? 😂. Up up and up isn’t the motto. What goes higher can come down even lower
201,9/3/20,$AAPL glad I bought puts before close on Friday 😏
202,9/3/20,$AAPL where are the bulls ? 😕🥳
203,10/3/20,$AAPL Corona virus is not a joke guy's remember that ⛔
204,10/3/20,$AAPL short it when it’s high! 😃
205,10/3/20,$AAPL whooooooohoooooo😂🤣😂🤣😂🤣😂🤣😂🤣 Craziness.... Love these pumps. Day Traders Paradise
206,10/3/20,$AAPL I’ll let the shorts and the bears duke it out on here. We all know it will all come back. 🙋‍♂️ bag holder
207,11/3/20,$AAPL bounce back on the way! 🙌🚀💰🚀🍾🍾☝️
208,11/3/20,$AAPL for some reason I think bears are rejoicing each time bad news hit about the virus 🤦🏻‍♀️
209,11/3/20,"$AAPL since Apple can no longer innovate, they are going backwards with the iPhone 9 fitted with a whopping 3gb of ram 😒😑"
210,11/3/20,$AAPL you still think this is  a dip ! 😂
211,12/3/20,$AAPL Trump blaming it on Europe- he is really going to tank the markets tomorrow 🤪🤪🤪🤪🤪
212,12/3/20,$AAPL Shout out to all my Bulls losing money tmw... woo woo!!! I 🤣 just having fun
213,12/3/20,$AAPL  I don’t think that retweeting your own Speech is gonna help bud. 🖐🧼🦠🚿
214,12/3/20,$AAPL let it drop to $255 then it’s back to downhill 📉📉
215,12/3/20,$AAPL Can we see 240 tomorrow?🧐 🤑
216,12/3/20,$AAPL Apple said they might not launch a new iPhone in September. 😳
217,12/3/20,$AAPL I gave a fair warning with good reasoning.  seen that coming 🤷‍♂️🙈
218,13/03/2020,$AAPL who told you this was a dip ? 😏
219,13/03/2020,$AAPL heres a bear vs Tim Cook 🐾🐼
220,13/03/2020,"$AAPL Corona virus is not a joke guy's remember that, it's will hit the revenue so bad, the right thing to do is selling Now 🔻🚫"
221,13/03/2020,"$AAPL final announcement, we are going down 😊"
222,13/03/2020,$AAPL green Apple 🍏 turns to red Apple please save your money 💰
223,13/03/2020,$AAPL That was so much fun🤣😂🤣
224,14/03/2020,$AAPL nice run today but will it hold on Monday 🤔
225,14/03/2020,"$AAPL for now it‘s just 2 of 13 weeks in the quarter, that the apple shops are closed. That‘s not much more than the difference beetween longer and smaller quarters. 😷✌️"
226,14/03/2020,$AAPL im gonna short the life out of u Monday baby let’s do this 😛😛😛😛😛😛😝😝😝😝😝
227,15/03/2020,"$AAPL will drop 50% from the
Highs 🐴🐻"
228,15/03/2020,$AAPL we might hit a circuit breaker tomorrow. Even ED  giving out money won’t fix this virus 😂😂😂
229,15/03/2020,$AAPL FUTURES ARE DOWN! BUY THE DIP! 😂
230,16/03/2020,$AAPL come on bulls the whole country is coming to a stop 🛑 and that is a huge problem for an economy relying 67% in consumption- I believe In 6 weeks we are out but now embrace and position yourselves for the impact
231,16/03/2020,$AAPL yeahhh my 4 puts 260 june 💵💵💵
232,16/03/2020,$AAPL already below the 200 SMA 😳
233,16/03/2020,$AAPL closed ALL non China stores and now ⤵️
234,16/03/2020,"$AAPL call premium last friday was insane, 245 call was about $4k/contract. 😂"
235,16/03/2020,"$AAPL how many showrooms closed, by Corona virus 🔻🚫"
236,16/03/2020,$AAPL what’s the point of halting the market right at open 🙄
237,16/03/2020,$AAPL on fire and water can’t put it out.... 😺🔥
238,16/03/2020,$AAPL they waiting on tomorrow to take her down to $230 😈
239,16/03/2020,$AAPL today trump want to dump with his speech. Lol 😂
240,16/03/2020,$AAPL confirmed! No one will buy anymore iPhones 😨
241,17/03/2020,$AAPL 📉🔪👋🏻 sub 200s are next !
242,17/03/2020,Is $AAPL going to bail anyone out? F no! 👎
243,17/03/2020,$AAPL Closing red & Opening Red 👋🏽👋🏽👋🏽🔥🐻
244,17/03/2020,$AAPL can’t wait to see the bulls faces 😳😳😳 lol
245,17/03/2020,$AAPL good luck being insane and holding overnight; lol; i really don’t care. 🤷‍♂️
246,17/03/2020,$AAPL 280 bill in cash. 1 bill per day last quarter 💥💥📈📈📈📈📈📈🍎🍎🍎🍎🍎💯only one way it goes!
247,17/03/2020,"$AAPL one of the best looking charts out there.
I like it for a solid bounce. 🤞🏽"
248,17/03/2020,"$AAPL 
BIG GREEN DAY TOMORROW. Believe it! 🔮"
249,17/03/2020,"$AAPL lower gas prices is obviously a boost to the economy, government can buy it at lower prices too ✅ adding to the stock pile for cheap"
250,18/03/2020,$AAPL World’s greatest company is on huge discount. Who else is loading up🍏? 🚀
251,18/03/2020,$AAPL finally some good news but timing looks bad. This news would have been out yesterday so markets would have rallied more. 😤
252,18/03/2020,$AAPL same story one day up next day down...It's casino not market at this moment..🙄
253,18/03/2020,$AAPL It is a shame that all the gain that the market had for the past 3 1/2 years is wiped out in a month and we are back to where Obama left it Dow at 19777😞😞😞
254,18/03/2020,$AAPL add more shares today before the 🔓
255,18/03/2020,$AAPL Fun day ... just think long term investors 🤟🏻
256,18/03/2020,"$AAPL Samsung joins Apple, Microsoft in closing US stores to combat Coronavirus, 🙏"
257,18/03/2020,$AAPL and down go the futures! Glad I loaded up with long positions at the close.....🤞
258,19/03/2020,$AAPL Trying to test my confidence in my puts right now 😆
259,19/03/2020,$AAPL $210 next Friday puts ON SALE! 🔥 buy before trump pump is over
260,19/03/2020,$AAPL every option player getting roasted rn we just won’t admit it😂
261,19/03/2020,$AAPL Futures will be in that DEEP DEEP tonight 🩸🩸🩸
262,20/03/2020,$AAPL weird here; usually this be trading down low 240-242 area; must be the quad-witch somehow 🤔
263,20/03/2020,$AAPL this is going straight to 180 next week. Funny if they folded 13 yr after first iPhone release 🤣👍
264,20/03/2020,$AAPL Bear 🐻 will slash your dreams Bulls!
265,21/03/2020,$AAPL Damn last time I saw this it was at $250 😬
266,21/03/2020,$AAPL clowns were buying the dip😂😂😂
267,22/03/2020,$AAPL 🦠 iVirus   edition won’t be cheap
268,22/03/2020,"$AAPL 14,000 new US cases today....🔥🔥🔥🔥"
269,23/03/2020,"$AAPL 
Bulls:  “shut the markets!!”
              “Stop the short selling!”

Bears: 😂😂😂😂😂"
270,23/03/2020,$AAPL LOL everyone on here over the weekend saying they were bullish...😂
271,23/03/2020,$AAPL how much has the “hold and never sell” line costed you? 😂
272,24/03/2020,$AAPL don’t fall for the fed pump.. this is going under $200 in weeks.. 🥃😎😏
273,24/03/2020,$AAPL I do love your optimism though bulls 🤣 #bouncyCat
274,24/03/2020,$AAPL bulls can’t see the triple rejection of the HOD?! 😂🤡😂🤡🌈🐻🐻🐻🐻🐻🐻
275,24/03/2020,$AAPL Say a little prayer for the guys that sold to me and ones that sold for a loss and shorted the floor. 🤦‍♂️ Enjoy that margin call 😂
276,25/03/2020,$AAPL Where are they we heading to $150 bears 🐻?
277,25/03/2020,$AAPL been coiling in this channel all day!!! Bout to breakout in a big way!!!!🚀🚀🚀🚀🚀🚀🚀🚀
278,25/03/2020,$AAPL gave all gains back from yesterday 🤮🤢🇺🇸🇺🇸🇺🇸😱😱😱😱🤮🤢😷😷😷
279,25/03/2020,$AAPL that was a beautiful move Senator Sanders no one was believing this bs rally 😂
280,26/03/2020,$AAPL  new IPhones won’t be on time coronavirus slowed production. Definitely BEARISH for now 👎.
281,26/03/2020,$AAPL the new iPhone will be able to process a stool sample 💩
282,26/03/2020,$AAPL can’t wait for this drop mark my words or make fun of me 😂
283,26/03/2020,$AAPL just a matter of time 📉
284,26/03/2020,$AAPL today is not going to go down to $244 like yesterday! 😏
285,26/03/2020,$AAPL heavy selling into close?? 🧐 looking for small profit scalp $100-$200 but will hold until the last 2 min of trading for a repeat of yesterday’s close.
286,27/03/2020,"$AAPL Apple products don’t get Virus 🦠, we all know that"
287,27/03/2020,$AAPL the right thing to do is buying more shares Now ✅🚀
288,27/03/2020,$AAPL looks like a big 🐻 trap to me
289,27/03/2020,"$AAPL sadly, da only thing poor 🐻 bears can cling to is more bad news"
290,27/03/2020,$AAPL The Bulls actually thought todays fake rally would hold?😂😂😂
291,29/03/2020,$AAPL Futures rippin! Another 4 out of 5 Green Day week coming 💪🏻
292,29/03/2020,"$AAPL too many bears...2 punish 😂 , crystal ball 🔮 sees a Faceripper session near u.."
293,29/03/2020,$AAPL  Stop 🛑  those shorts sellers for 1 month . Protect American people 401 K from those shorts sellers vampires 🧛‍♂️
294,30/03/2020,$AAPL Feds will start buying and you evil shorts hope to feel some that pain ✅✅
295,30/03/2020,$AAPL Bears 🐻 when the word hydroxychloroquine comes up
296,30/03/2020,$AAPL I sense angst among late bears who bought puts😩😩😂😂😂😂
297,30/03/2020,"$AAPL Technicals are solid suggesting continuation. When nobody has any idea, fall back is technicals! Apple 🍏"
298,30/03/2020,$AAPL funny how Cramer is basically hinting everyone to short the market and you know how that goes always bet against him😂
299,30/03/2020,$AAPL 255.86  I change my mind. Bought calls😅
